ISO.Code,Country.Name,Indicator,Shortind,Sex,Year,Median,Lower,Upper
AFG,Afghanistan,Stillbirth rate,SBR,Total,2021.5,25.68102456,15.30724391,43.4753489
AGO,Angola,Stillbirth rate,SBR,Total,2021.5,19.30307285,11.69786001,31.75514356
ALB,Albania,Stillbirth rate,SBR,Total,2021.5,4.344575297,3.254293017,5.718196509
AND,Andorra,Stillbirth rate,SBR,Total,2021.5,2.28713731,1.575846834,3.332452266
ARE,United Arab Emirates,Stillbirth rate,SBR,Total,2021.5,4.682596429,3.888521686,5.62086051
ARG,Argentina,Stillbirth rate,SBR,Total,2021.5,4.301864208,3.711594862,5.002132344
ARM,Armenia,Stillbirth rate,SBR,Total,2021.5,10.82129477,9.55851663,12.22376572
ATG,Antigua and Barbuda,Stillbirth rate,SBR,Total,2021.5,5.155862491,3.076115848,8.536239674
AUS,Australia,Stillbirth rate,SBR,Total,2021.5,2.386948272,2.132302965,2.682200156
AUT,Austria,Stillbirth rate,SBR,Total,2021.5,2.436130702,2.129567344,2.817194327
AZE,Azerbaijan,Stillbirth rate,SBR,Total,2021.5,8.713133157,5.428547162,13.85273957
BDI,Burundi,Stillbirth rate,SBR,Total,2021.5,18.24059727,16.98508657,19.64385229
BEL,Belgium,Stillbirth rate,SBR,Total,2021.5,2.926986176,2.269802401,3.791045085
BEN,Benin,Stillbirth rate,SBR,Total,2021.5,20.00455077,15.5552898,25.48726456
BFA,Burkina Faso,Stillbirth rate,SBR,Total,2021.5,20.38372275,19.00694638,21.82390225
BGD,Bangladesh,Stillbirth rate,SBR,Total,2021.5,20.50017205,16.31632649,25.87752967
BGR,Bulgaria,Stillbirth rate,SBR,Total,2021.5,5.421489661,4.985011641,5.910406483
BHR,Bahrain,Stillbirth rate,SBR,Total,2021.5,5.807845855,4.578004457,7.421915644
BHS,Bahamas,Stillbirth rate,SBR,Total,2021.5,11.18327752,8.822058373,14.21537047
BIH,Bosnia and Herzegovina,Stillbirth rate,SBR,Total,2021.5,2.683212458,2.082039572,3.472894888
BLR,Belarus,Stillbirth rate,SBR,Total,2021.5,2.185259155,1.84011879,2.587962962
BLZ,Belize,Stillbirth rate,SBR,Total,2021.5,6.891345,5.813166102,8.160413725
BOL,Bolivia (Plurinational State of),Stillbirth rate,SBR,Total,2021.5,8.767134942,5.770551139,13.17896123
BRA,Brazil,Stillbirth rate,SBR,Total,2021.5,6.981273615,6.217461048,7.826391477
BRB,Barbados,Stillbirth rate,SBR,Total,2021.5,7.595662897,4.602995701,12.46215707
BRN,Brunei Darussalam,Stillbirth rate,SBR,Total,2021.5,4.884507544,3.739954403,6.315335733
BTN,Bhutan,Stillbirth rate,SBR,Total,2021.5,9.015392891,6.518724283,12.42236215
BWA,Botswana,Stillbirth rate,SBR,Total,2021.5,14.72840346,9.762612833,22.5074477
CAF,Central African Republic,Stillbirth rate,SBR,Total,2021.5,26.27780066,15.63866969,44.28643143
CAN,Canada,Stillbirth rate,SBR,Total,2021.5,2.778536405,2.490843443,3.098230464
CHE,Switzerland,Stillbirth rate,SBR,Total,2021.5,2.414502033,2.190494748,2.663087167
CHL,Chile,Stillbirth rate,SBR,Total,2021.5,2.649329495,2.258138022,3.104288687
CHN,China,Stillbirth rate,SBR,Total,2021.5,4.89719754,3.950229986,6.056942174
CIV,Cote d'Ivoire,Stillbirth rate,SBR,Total,2021.5,22.05722846,13.20970206,36.444108
CMR,Cameroon,Stillbirth rate,SBR,Total,2021.5,18.87638965,11.44371426,31.52617793
COD,Democratic Republic of the Congo,Stillbirth rate,SBR,Total,2021.5,27.67652247,21.97755489,34.86326479
COG,Congo,Stillbirth rate,SBR,Total,2021.5,15.7526429,9.49637194,26.38074381
COK,Cook Islands,Stillbirth rate,SBR,Total,2021.5,4.729679042,3.112012332,7.219875777
COL,Colombia,Stillbirth rate,SBR,Total,2021.5,7.144752096,4.834891484,10.31925467
COM,Comoros,Stillbirth rate,SBR,Total,2021.5,24.23223399,14.5881256,40.31824325
CPV,Cabo Verde,Stillbirth rate,SBR,Total,2021.5,9.114879574,5.965580442,13.87893363
CRI,Costa Rica,Stillbirth rate,SBR,Total,2021.5,4.224074778,3.431159959,5.204604445
CUB,Cuba,Stillbirth rate,SBR,Total,2021.5,6.949136725,5.926487716,8.153795115
CYP,Cyprus,Stillbirth rate,SBR,Total,2021.5,2.604237593,2.09922738,3.226432955
CZE,Czechia,Stillbirth rate,SBR,Total,2021.5,2.733609976,2.509968793,2.978710646
DEU,Germany,Stillbirth rate,SBR,Total,2021.5,2.763879425,2.158049896,3.543518157
DJI,Djibouti,Stillbirth rate,SBR,Total,2021.5,26.7474551,19.12852285,37.59092025
DMA,Dominica,Stillbirth rate,SBR,Total,2021.5,15.45740223,9.552289419,25.66845564
DNK,Denmark,Stillbirth rate,SBR,Total,2021.5,1.908333529,1.444085852,2.505673906
DOM,Dominican Republic,Stillbirth rate,SBR,Total,2021.5,12.71328178,7.547196608,21.37594209
DZA,Algeria,Stillbirth rate,SBR,Total,2021.5,9.819001625,8.108756974,11.90183509
ECU,Ecuador,Stillbirth rate,SBR,Total,2021.5,8.852495457,5.882487206,13.22124222
EGY,Egypt,Stillbirth rate,SBR,Total,2021.5,9.194960143,5.428633816,15.51392893
ERI,Eritrea,Stillbirth rate,SBR,Total,2021.5,16.13757749,9.684421443,26.67359175
ESP,Spain,Stillbirth rate,SBR,Total,2021.5,2.1642631,1.93491148,2.43292056
EST,Estonia,Stillbirth rate,SBR,Total,2021.5,1.930848767,1.557947116,2.397955339
ETH,Ethiopia,Stillbirth rate,SBR,Total,2021.5,20.56490495,15.10377969,28.06049138
FIN,Finland,Stillbirth rate,SBR,Total,2021.5,1.941344805,1.644305706,2.290998616
FJI,Fiji,Stillbirth rate,SBR,Total,2021.5,9.138883452,6.923869884,12.0199649
FRA,France,Stillbirth rate,SBR,Total,2021.5,3.065643891,2.760652561,3.383922942
FSM,Micronesia (Federated States of),Stillbirth rate,SBR,Total,2021.5,11.15133908,6.596330985,18.53160213
GAB,Gabon,Stillbirth rate,SBR,Total,2021.5,14.09536227,8.309754981,23.64003425
GBR,United Kingdom,Stillbirth rate,SBR,Total,2021.5,2.704276116,2.441426153,3.008962553
GEO,Georgia,Stillbirth rate,SBR,Total,2021.5,5.673709252,5.004354897,6.453005229
GHA,Ghana,Stillbirth rate,SBR,Total,2021.5,21.40353203,15.36551378,29.77206413
GIN,Guinea,Stillbirth rate,SBR,Total,2021.5,23.24540571,13.99812632,38.93501686
GMB,Gambia,Stillbirth rate,SBR,Total,2021.5,21.02800106,13.61770575,33.05409291
GNB,Guinea-Bissau,Stillbirth rate,SBR,Total,2021.5,31.20755658,20.48259666,47.34798622
GNQ,Equatorial Guinea,Stillbirth rate,SBR,Total,2021.5,15.006993,8.863004438,25.57439745
GRC,Greece,Stillbirth rate,SBR,Total,2021.5,3.09207481,2.8239181,3.382662069
GRD,Grenada,Stillbirth rate,SBR,Total,2021.5,9.074397529,5.496026824,15.12231088
GTM,Guatemala,Stillbirth rate,SBR,Total,2021.5,13.33693119,10.63551552,16.76505759
GUY,Guyana,Stillbirth rate,SBR,Total,2021.5,13.08864021,8.260630586,20.66311687
HND,Honduras,Stillbirth rate,SBR,Total,2021.5,8.226089565,6.385288644,10.5692809
HRV,Croatia,Stillbirth rate,SBR,Total,2021.5,3.027094352,2.428589026,3.790850333
HTI,Haiti,Stillbirth rate,SBR,Total,2021.5,17.71701312,10.62285405,29.63345353
HUN,Hungary,Stillbirth rate,SBR,Total,2021.5,3.577319966,3.146474203,4.080298797
IDN,Indonesia,Stillbirth rate,SBR,Total,2021.5,9.071620901,6.391843196,12.86506521
IND,India,Stillbirth rate,SBR,Total,2021.5,12.24281602,9.930264223,15.08221143
IRL,Ireland,Stillbirth rate,SBR,Total,2021.5,2.52307465,2.08526681,3.025190202
IRN,Iran (Islamic Republic of),Stillbirth rate,SBR,Total,2021.5,7.211370268,4.19293857,12.42974184
IRQ,Iraq,Stillbirth rate,SBR,Total,2021.5,11.67983144,7.140268618,19.51160454
ISL,Iceland,Stillbirth rate,SBR,Total,2021.5,1.786041004,1.355221486,2.352681895
ISR,Israel,Stillbirth rate,SBR,Total,2021.5,2.744880347,2.434286669,3.094041368
ITA,Italy,Stillbirth rate,SBR,Total,2021.5,2.224235521,1.789563021,2.764976595
JAM,Jamaica,Stillbirth rate,SBR,Total,2021.5,14.36375363,11.29934684,18.26227884
JOR,Jordan,Stillbirth rate,SBR,Total,2021.5,8.998796999,5.884759973,13.90834856
JPN,Japan,Stillbirth rate,SBR,Total,2021.5,1.575816718,1.48922704,1.66693856
KAZ,Kazakhstan,Stillbirth rate,SBR,Total,2021.5,8.11761826,7.306458602,9.000502407
