ISO.Code,Country.Name,Indicator,Shortind,Sex,Year,Median,Lower,Upper
DMA,Dominica,Under-five mortality rate,U5MR,Total,2023.5,35.4722532725151,30.8039481356297,41.0530303461589
DNK,Denmark,Under-five mortality rate,U5MR,Total,2023.5,3.42334612841016,3.07321060759036,3.80781553679725
DOM,Dominican Republic,Under-five mortality rate,U5MR,Total,2023.5,31.4113004792113,22.141614819885,44.7539482790087
DZA,Algeria,Under-five mortality rate,U5MR,Total,2023.5,22.0007752577279,19.8481916543322,24.3902741177634
ECU,Ecuador,Under-five mortality rate,U5MR,Total,2023.5,13.0549329900104,11.7675932826864,14.4096265004731
EGY,Egypt,Under-five mortality rate,U5MR,Total,2023.5,17.5278030808089,10.9609885084118,28.3460495346107
ERI,Eritrea,Under-five mortality rate,U5MR,Total,2023.5,35.3824383818594,19.3307306434949,65.7172366132905
ESP,Spain,Under-five mortality rate,U5MR,Total,2023.5,3.11564700190687,2.93851296079663,3.30575680045074
EST,Estonia,Under-five mortality rate,U5MR,Total,2023.5,2.10635857247632,1.78666855706445,2.49357437414442
ETH,Ethiopia,Under-five mortality rate,U5MR,Total,2023.5,46.4611526327307,34.0265744054524,63.44954112609
FIN,Finland,Under-five mortality rate,U5MR,Total,2023.5,2.2934689795889,2.07660978417108,2.54288425802475
FJI,Fiji,Under-five mortality rate,U5MR,Total,2023.5,29.1439000032749,24.5838552800366,34.7909270559711
FRA,France,Under-five mortality rate,U5MR,Total,2023.5,4.32146435845036,4.18729900008965,4.46015351014575
FSM,Micronesia (Federated States of),Under-five mortality rate,U5MR,Total,2023.5,23.0838390920184,10.4021004867111,50.9129241990011
GAB,Gabon,Under-five mortality rate,U5MR,Total,2023.5,33.2113222775542,23.8062002382281,47.9036015751778
GBR,United Kingdom,Under-five mortality rate,U5MR,Total,2023.5,4.45700917956078,4.12105410325167,4.83069919437056
GEO,Georgia,Under-five mortality rate,U5MR,Total,2023.5,9.16633651675949,7.64490041728968,11.1299724936017
GHA,Ghana,Under-five mortality rate,U5MR,Total,2023.5,37.0640028290563,29.5236800120379,46.4731964677827
GIN,Guinea,Under-five mortality rate,U5MR,Total,2023.5,95.0314234951502,73.3914248289569,124.206354851985
GMB,Gambia,Under-five mortality rate,U5MR,Total,2023.5,44.0810116633809,32.3772530136858,59.59123297013
GNB,Guinea-Bissau,Under-five mortality rate,U5MR,Total,2023.5,69.3048502691134,39.1746803247136,119.847557010547
GNQ,Equatorial Guinea,Under-five mortality rate,U5MR,Total,2023.5,70.6248384724695,38.2278012029628,130.231984929633
GRC,Greece,Under-five mortality rate,U5MR,Total,2023.5,3.74471124257334,3.17574381323825,4.39054420975852
GRD,Grenada,Under-five mortality rate,U5MR,Total,2023.5,18.265226029552,14.3185662516,23.2137177888543
GTM,Guatemala,Under-five mortality rate,U5MR,Total,2023.5,21.3588419804629,14.6903854214041,31.3009282946386
GUY,Guyana,Under-five mortality rate,U5MR,Total,2023.5,25.7356254858345,14.4589533233865,46.6600175782445
HND,Honduras,Under-five mortality rate,U5MR,Total,2023.5,15.5105947245687,11.1925496716629,22.0112259788689
HRV,Croatia,Under-five mortality rate,U5MR,Total,2023.5,4.56840290804215,4.19772636861924,4.96845148928133
